parameter_name,class,value_type,confidence,review_status,modal_signal,adoc_file,line_number,excerpt
VTW_WFI_ALWAYS_TRAP,NORM_DIRECT,binary,high,both_layers_clean,An implementation may have WFI always raise a virtual-instruction exception,hypervisor.adoc,268,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed."
HGATP_PPN_LOWER_BITS_RO,NORM_CSR_RW,binary,high,both_layers_clean,may make PPN[1:0] read-only zero,hypervisor.adoc,690,An implementation that supports only the defined paged virtual-memory schemes and/or Bare may make PPN[1:0] read-only zero.
MISELECT_WIDTH,NORM_CSR_RW,range,high,both_layers_clean,may be read-only zero if there are no extensions implemented that utilize it,indirect-csr.adoc,72,The `miselect` register implements at least enough bits to support all implemented `miselect` values (corresponding to the implemented extensions that utilize `miselect`/`mireg*` to indirectly access register state). The `miselect` register may be read-only zero if there are no extensions implemented that utilize it.
HINT_XLEN_REDUCTION_BEHAVIOR,NORM_DIRECT,binary,high,both_layers_clean,it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten,machine.adoc,416,"When such a HINT is executed with XLEN < MXLEN and bits MXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1."
WFI_TW_ALWAYS_ILLEGAL,NORM_DIRECT,binary,high,both_layers_clean,An implementation may have WFI always raise an illegal-instruction exception,machine.adoc,617,"An implementation may have WFI always raise an illegal-instruction exception in modes less privileged than M when TW=1, even if there are pending globally-disabled interrupts when the instruction is executed."
MEDELEG_MIDELEG_IMPLEMENTED,NORM_DIRECT,binary,high,both_layers_clean,implementations can provide individual read/write bits,machine.adoc,921,implementations can provide individual read/write bits within `medeleg` and `mideleg` to indicate that certain exceptions and interrupts should be processed directly by a lower privilege level.
MEDELEG_WARL_BITS,NORM_CSR_WARL,bitmask,high,both_layers_clean,An implementation can choose to subset the delegatable traps,machine.adoc,944,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value in `medeleg` or `mideleg` to see which bit positions hold a one."
MENVCFG_FIOM_READONLY,NORM_CSR_RW,binary,high,both_layers_clean,the implementation may make FIOM read-only zero,machine.adoc,1455,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero."
XRET_CLEARS_LR_RESERVATION,NORM_DIRECT,binary,high,both_layers_clean,is allowed to clear any outstanding LR address reservation but is not required to,machine.adoc,1535,"If the A extension is supported, the __x__RET instruction is allowed to clear any outstanding LR address reservation but is not required to."
WFI_U_MODE,NORM_DIRECT,binary,high,both_layers_clean,optionally available to U-mode,machine.adoc,1543,"WFI is available in all privileged modes, and optionally available to U-mode."
MIP_MSIP_MIE_MSIE_READONLY,NORM_CSR_RW,binary,high,both_layers_clean,may both be read-only zeros,machine.adoc,1047,"If a system has only one hart, or if a platform standard supports the delivery of machine-level interprocessor interrupts through external interrupts (MEI) instead, then `mip`.MSIP and `mie`.MSIE may both be read-only zeros."
STIMECMP_IMPLEMENTED,NORM_DIRECT,binary,high,both_layers_clean,If the stimecmp register is not implemented,machine.adoc,1068,"If the stimecmp register is not implemented, STIP is writable in mip"
RNMI_CAUSE_CODES_SUPPORTED,NORM_DIRECT,binary,medium,both_layers_clean,RNMI causes are not supported,rnmi.adoc,80,"If the reason is an interrupt and RNMI causes are not supported, bit MXLEN-1 is set to 1, and zero is written to the least-significant bits."
SSEED_USEED_WRITABLE,NORM_CSR_RW,binary,high,both_layers_clean,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`",scalar-crypto.adoc,3697,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`."
CTR_SUPPORTED_DEPTHS,NORM_CSR_WARL,set,high,both_layers_clean,implementation-specific which DEPTH value(s) are supported,smctr.adoc,222,It is implementation-specific which DEPTH value(s) are supported.
CTR_MISP_IMPLEMENTED,NORM_CSR_RW,binary,high,both_layers_clean,optional MISP bit,smctr.adoc,330,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.
CTR_CYCLE_COUNT_IMPLEMENTED,NORM_CSR_RW,binary,high,both_layers_clean,may optionally include a count of CPU cycles,smctr.adoc,618,"The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.  The elapsed cycle count value is represented by the CC field, which has a 12-bit mantissa component (Cycle Count Mantissa, or CCM) and a 4-bit exponent component (Cycle Count Exponent, or CCE)."
CTR_CCE_WIDTH,NORM_CSR_RW,range,high,both_layers_clean,may implement 0..4 exponent bits in CCE,smctr.adoc,648,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE. Unimplemented CCE bits are read-only 0."
