section,parameter_name,class,value_type,modal_signal,adoc_file,line_number,norm_tag,tagged,refers_to_csr_field_value,refers_to_warl,cross_chapter_dup,excerpt,mentor_comment
1. V4 — for review,HINT_XLEN_REDUCTION_BEHAVIOR,NORM_DIRECT,binary,it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten,machine.adoc,416,,no,no,no,,"When such a HINT is executed with XLEN < MXLEN and bits MXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1.",
1. V4 — for review,HINT_SXLEN_DEST_REG_BEHAVIOR,NORM_DIRECT,binary,it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten,supervisor.adoc,141,,no,no,no,,"When such a HINT is executed with XLEN < SXLEN and bits SXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1.",
1. V4 — for review,XRET_CLEARS_LR_RESERVATION,NORM_DIRECT,binary,is allowed to clear any outstanding LR address reservation but is not required to,machine.adoc,1535,norm:xret_clr_lr_resv,yes,no,no,,"If the A extension is supported, the __x__RET instruction is allowed to clear any outstanding LR address reservation but is not required to.",
1. V4 — for review,WFI_U_MODE,NORM_DIRECT,binary,optionally available to U-mode,machine.adoc,1543,,no,no,no,,"WFI is available in all privileged modes, and optionally available to U-mode.",
1. V4 — for review,VTW_WFI_ALWAYS_TRAP,NORM_DIRECT,binary,An implementation may have WFI always raise a virtual-instruction exception,hypervisor.adoc,268,norm:vtw_virtinstr_param,yes,yes,no,,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed.",
1. V4 — for review,WFI_TW_ALWAYS_ILLEGAL,NORM_DIRECT,binary,An implementation may have WFI always raise an illegal-instruction exception,machine.adoc,617,norm:mstatus_tw_always_illegal,yes,no,no,,"An implementation may have WFI always raise an illegal-instruction exception in modes less privileged than M when TW=1, even if there are pending globally-disabled interrupts when the instruction is executed.",
1. V4 — for review,SSEED_USEED_WRITABLE,NORM_CSR_RW,binary,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`",scalar-crypto.adoc,3697,,no,yes,no,,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`.",
1. V4 — for review,CTR_MISP_IMPLEMENTED,NORM_CSR_RW,binary,optional MISP bit,smctr.adoc,330,norm:ctrtarget_misp,yes,no,yes,,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.,
1. V4 — for review,CTR_CYCLE_COUNT_IMPLEMENTED,NORM_CSR_RW,binary,may optionally include a count of CPU cycles,smctr.adoc,618,norm:ctrdata_cc_supported_param,yes,yes,no,,"The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.  The elapsed cycle count value is represented by the CC field, which has a 12-bit mantissa component (Cycle Count Mantissa, or CCM) and a 4-bit exponent component (Cycle Count Exponent, or CCE).",
1. V4 — for review,CTR_CCE_WIDTH,NORM_CSR_RW,range,may implement 0..4 exponent bits in CCE,smctr.adoc,648,norm:ccounter_impl,yes,no,yes,,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE. Unimplemented CCE bits are read-only 0.",
1. V4 — for review,CTR_RASEMU_IMPLEMENTED,NORM_CSR_RW,binary,optional `__x__ctrctl`.RASEMU bit is implemented,smctr.adoc,693,norm:ctrctl_rasemu_op,yes,no,no,,"When the optional `__x__ctrctl`.RASEMU bit is implemented and set to 1, transfer recording behavior is altered to emulate the behavior of a return-address stack (RAS).",
1. V4 — for review,CTR_SUPPORTED_DEPTHS,NORM_CSR_WARL,set,implementation-specific which DEPTH value(s) are supported,smctr.adoc,222,norm:sctrdepth-depth_param,yes,no,no,,It is implementation-specific which DEPTH value(s) are supported.,
1. V4 — for review,MENVCFG_FIOM_READONLY,NORM_CSR_RW,binary,the implementation may make FIOM read-only zero,machine.adoc,1455,norm:menvcfg_fiom_rdonly0_ok,yes,yes,yes,,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",
1. V4 — for review,SENVCFG_FIOM_ACCESS,NORM_CSR_RW,binary,the implementation may make FIOM read-only zero,supervisor.adoc,706,,no,yes,yes,"YES: machine.adoc, supervisor.adoc","If `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",
2. Mentor-confirmed (V3),HPM_UNIMPLEMENTED_ACCESS_BEHAVIOR,NORM_DIRECT,enum,may cause an illegal-instruction exception or may return a constant value,counters.adoc,191,norm:hpm_unimplemented_counter_access,yes,no,no,,Accessing an unimplemented counter may cause an illegal-instruction exception or may return a constant value.,"WARL parameter:  returning a constant value implies implemented, so which counters are implemented is the parameter, If unimplmented, requires illegal inst trap (NOT unspecified)"
2. Mentor-confirmed (V3),HPM_MISCONFIGURED_BEHAVIOR,NORM_DIRECT,binary,the counter may return a constant value,counters.adoc,192,norm:hpm_misconfigured_event_behavior,yes,no,no,,"If the configuration used to select the events counted by a counter is misconfigured, the counter may return a constant value.","parameter: WARL behavior (only tested if Ssstrict is implemented, else is unspeciifed"
2. Mentor-confirmed (V3),VSXL_RO_PARAM,NORM_CSR_RW,binary,an implementation may make VSXL be a read-only field,hypervisor.adoc,244,norm:vsxl_ro_param,yes,no,no,,"In particular, an implementation may make VSXL be a read-only field whose value always ensures that VSXLEN=HSXLEN.","new WARL parameter behavior! (ReadOnly, but value is the the value of some other state bit"
2. Mentor-confirmed (V3),VTW_VIRTINSTR_PARAM,NORM_DIRECT,binary,An implementation may have WFI always raise a virtual-instruction exception,hypervisor.adoc,260,norm:vtw_virtinstr_param,yes,yes,no,,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed.","parameter: raise virt inst, or just wait?"
2. Mentor-confirmed (V3),VSSTATUS_UBE_PARAM,NORM_CSR_RW,binary,An implementation may make field UBE be a read-only copy,hypervisor.adoc,1226,,no,yes,yes,,An implementation may make field UBE be a read-only copy of `hstatus`.VSBE.,"parameter: new WARL  behavior! (ReadOnly, but value is the the value of some other state bit)"
