adoc_file,line_number,excerpt,parameter_name,named,class,value_type,confidence,modal_signal,validation,notes
a-st-ext.adoc,113,"An implementation can register an arbitrarily large reservation set on each LR, provided the reservation set includes all bytes of the addressed data word or doubleword.",LRSC_RESERVATION_STRATEGY,yes,NORM_DIRECT,range,high,can register an arbitrarily large reservation set,KEEP,
a-st-ext.adoc,350,"The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement.",MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,yes,NORM_DIRECT,value,high,optionally relaxes this alignment requirement,KEEP,
cmo.adoc,85,"The capacity and organization of a cache and the size of a cache block are both _implementation-specific_, and the execution environment provides software a means to discover information about the caches and cache blocks in a system.",CACHE_BLOCK_SIZE,yes,NORM_DIRECT,value,high,implementation-specific,KEEP,
cmo.adoc,318,"If the above constraints are not met, the behavior of a CBO instruction is UNSPECIFIED.",CBO_BEHAVIOR_ON_CONSTRAINT_VIOLATION,no,NORM_DIRECT,enum,medium,behavior of a CBO instruction is UNSPECIFIED,KEEP,newly discovered
cmo.adoc,344,"If neither a load instruction nor store instruction is permitted to access the physical addresses, but an instruction fetch is permitted to access the physical addresses, whether a cache-block management instruction is permitted to access the cache block is UNSPECIFIED.",CBM_ACCESS_ON_IFETCH_ONLY,no,NORM_DIRECT,binary,high,whether a cache-block management instruction is permitted to access the cache block is UNSPECIFIED,KEEP,newly discovered
cmo.adoc,395,"Unless otherwise defined by the debug architecture specification, the behavior of trigger modules with respect to CMO instructions is UNSPECIFIED.",CMO_TRIGGER_BEHAVIOR,no,NORM_DIRECT,enum,high,behavior of trigger modules with respect to CMO instructions is UNSPECIFIED,KEEP,newly discovered
cmo.adoc,810,An implementation may or may not update the entire set of bytes atomically.,CBO_ZERO_ATOMIC_UPDATE,no,NORM_DIRECT,binary,high,may or may not update the entire set of bytes atomically,KEEP,newly discovered
counters.adoc,191,Accessing an unimplemented counter may cause an illegal-instruction exception or may return a constant value.,HPM_UNIMPLEMENTED_ACCESS_BEHAVIOR,no,NORM_DIRECT,enum,high,may cause an illegal-instruction exception or may return a constant value,KEEP,newly discovered
counters.adoc,192,"If the configuration used to select the events counted by a counter is misconfigured, the counter may return a constant value.",HPM_MISCONFIGURED_BEHAVIOR,no,NORM_DIRECT,binary,medium,the counter may return a constant value,KEEP,newly discovered
hypervisor.adoc,244,"In particular, an implementation may make VSXL be a read-only field whose value always ensures that VSXLEN=HSXLEN.",VSXL_RO_PARAM,no,NORM_CSR_RW,binary,high,an implementation may make VSXL be a read-only field,KEEP,newly discovered
hypervisor.adoc,260,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed.",VTW_VIRTINSTR_PARAM,no,NORM_DIRECT,binary,high,An implementation may have WFI always raise a virtual-instruction exception,KEEP,newly discovered
hypervisor.adoc,520,The number of bits implemented in `hgeip` and `hgeie` for guest external interrupts is UNSPECIFIED and may be zero. This number is known as _GEILEN_.,GEILEN_PARAM,no,NORM_DIRECT,range,high,is UNSPECIFIED and may be zero,KEEP,newly discovered
hypervisor.adoc,1073,The number of VMID bits is UNSPECIFIED and may be zero.,VMID_WIDTH,yes,NORM_DIRECT,range,high,is UNSPECIFIED and may be zero,KEEP,
hypervisor.adoc,1075,Implementations are not required to support all defined MODE settings when HSXLEN=64.,GSTAGE_MODE_BARE,yes,NORM_CSR_WARL,binary,high,are not required to support all defined MODE settings,KEEP,
hypervisor.adoc,1226,An implementation may make field UBE be a read-only copy of `hstatus`.VSBE.,VSSTATUS_UBE_PARAM,no,NORM_CSR_RW,binary,high,An implementation may make field UBE be a read-only copy,KEEP,newly discovered
indirect-csr.adoc,67,The miselect register may be read-only zero if there are no extensions implemented that utilize it.,MISELECT_ACCESS,no,NORM_CSR_RW,binary,high,may be read-only zero,KEEP,newly discovered
machine.adoc,58,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_EXTENSIONS,no,NORM_CSR_RW,bitmask,high,can contain writable bits where the implementation allows,KEEP,"needs review: multiple UDB matches (MUTABLE_MISA_A, MUTABLE_MISA_B, MUTABLE_MISA_C, MUTABLE_MISA_D, MUTABLE_MISA_F, MUTABLE_MISA_H, MUTABLE_MISA_M, MUTABLE_MISA_Q, MUTABLE_MISA_S, MUTABLE_MISA_U)"
machine.adoc,95,"This register must be readable in any implementation, but a value of 0 can be returned to indicate the field is not implemented.",VENDOR_ID_BANK,yes,NORM_DIRECT,value,high,can be returned to indicate the field is not implemented,KEEP,
machine.adoc,115,"This register must be readable in any implementation, but a value of 0 can be returned to indicate the field is not implemented.",MARCHID_IMPLEMENTED,yes,NORM_DIRECT,binary,high,can be returned to indicate the field is not implemented,KEEP,
machine.adoc,130,"This register must be readable in any implementation, but a value of 0 can be returned to indicate that the field is not implemented.",MIMPID_IMPLEMENTED,yes,NORM_DIRECT,binary,high,can be returned to indicate that the field is not implemented,KEEP,
machine.adoc,244,an implementation may make SXL be a read-only field whose value always ensures that SXLEN=MXLEN.,SXLEN,yes,NORM_CSR_RW,enum,high,an implementation may make SXL be a read-only field,KEEP,
machine.adoc,249,an implementation may make UXL be a read-only field whose value always ensures that UXLEN=MXLEN or UXLEN=SXLEN.,UXLEN,yes,NORM_CSR_RW,enum,high,an implementation may make UXL be a read-only field,KEEP,
