adoc_file,line_number,excerpt,parameter_name,named,class,value_type,confidence,modal_signal,validation,tagged,refers_to_warl,in_intro_section,sw_keywords,notes
a-st-ext.adoc,148,"An implementation can register an arbitrarily large reservation set on each LR, provided the reservation set includes all bytes of the addressed data word or doubleword.",LRSC_RESERVATION_STRATEGY,yes,NORM_DIRECT,enum,high,can register an arbitrarily large reservation set,KEEP,yes,no,no,,
a-st-ext.adoc,163,"(If such a device writes the reservation set but does not write the bytes accessed by the LR, the SC may or may not fail.)",LRSC_FAIL_ON_RESERVATION_SET_DEVICE_WRITE,no,NORM_DIRECT,binary,high,may or may not fail,KEEP,no,no,no,,newly discovered
a-st-ext.adoc,393,"The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement.",MISALIGNED_AMO,yes,NORM_DIRECT,binary,high,optionally relaxes,KEEP,yes,no,no,,
cmo.adoc,88,"The capacity and organization of a cache and the size of a cache block are both _implementation-specific_, and the execution environment provides software a means to discover information about the caches and cache blocks in a system.",CACHE_BLOCK_SIZE,yes,NORM_DIRECT,value,high,implementation-specific,KEEP,no,no,no,software,untagged + SW keywords (software) — likely clarification/SW requirement
cmo.adoc,131,An implementation may or may not update the entire set of bytes atomically with a single store operation.,CBO_ZERO_ATOMICITY,no,NORM_DIRECT,binary,high,may or may not update the entire set of bytes atomically,KEEP,no,no,no,,newly discovered
cmo.adoc,793,"Cache-block zero instructions store zeros to the set of bytes corresponding to a cache block. An implementation may update the bytes in any order and with any granularity and atomicity, including individual bytes.",CBO_ZERO_UPDATE_GRANULARITY,no,NORM_DIRECT,enum,high,may update the bytes in any order and with any granularity and atomicity,KEEP,yes,no,no,,newly discovered
cmo.adoc,1003,An implementation may or may not update the entire set of bytes atomically.,CBO_ZERO_ATOMIC_UPDATE,no,NORM_DIRECT,binary,high,may or may not update the entire set of bytes atomically,KEEP,no,no,no,,newly discovered
counters.adoc,211,Accessing an unimplemented counter may cause an illegal-instruction exception or may return a constant value.,HPM_UNIMPLEMENTED_COUNTER_ACCESS_BEHAVIOR,no,NORM_DIRECT,enum,high,may cause an illegal-instruction exception or may return a constant value,KEEP,yes,no,no,,newly discovered
hypervisor.adoc,248,"In particular, an implementation may make VSXL be a read-only field whose value always ensures that VSXLEN=HSXLEN.",VSXLEN,yes,NORM_CSR_RW,binary,high,an implementation may make VSXL be a read-only field,KEEP,yes,no,no,,
hypervisor.adoc,268,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed.",VTW_WFI_ALWAYS_TRAP,no,NORM_DIRECT,binary,high,An implementation may have WFI always raise a virtual-instruction exception,KEEP,yes,no,no,,newly discovered
hypervisor.adoc,330,An implementation may make VSBE a read-only field that always specifies the same endianness as HS-mode.,VS_MODE_ENDIANNESS,yes,NORM_CSR_RW,binary,high,An implementation may make VSBE a read-only field,KEEP,no,no,no,,
hypervisor.adoc,367,Similar translations may or may not be done for platform interrupt causes (codes 16 and above).,HIDELEG_PLATFORM_INTERRUPT_TRANSLATION,no,NORM_DIRECT,binary,medium,may or may not be done,KEEP,no,no,no,,newly discovered
hypervisor.adoc,393,The number of bits implemented in `hgeip` and `hgeie` for guest external interrupts is UNSPECIFIED and may be zero. This number is known as _GEILEN_.,NUM_EXTERNAL_GUEST_INTERRUPTS,yes,NORM_DIRECT,range,high,is UNSPECIFIED and may be zero,KEEP,no,no,no,,
hypervisor.adoc,430,"If bit _i_ of `sie` is read-only zero, the same bit in register `hip` may be writable or may be read-only.",HIP_WRITABLE_BITS,no,NORM_CSR_RW,bitmask,high,may be writable or may be read-only,KEEP,no,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model"
hypervisor.adoc,530,"`hcounteren` must be implemented. However, any of the bits may be read-only zero, indicating reads to the corresponding counter will cause an exception when V=1. Hence, they are effectively *WARL* fields.",HCOUNTENABLE_EN,yes,NORM_CSR_RW,bitmask,high,any of the bits may be read-only zero,KEEP,no,yes,no,will,"likely duplicate: WARL field, usually covered by CSR field model; untagged + SW keywords (will) — likely clarification/SW requirement"
hypervisor.adoc,680,Implementations are not required to support all defined MODE settings when HSXLEN=64.,GSTAGE_MODE_BARE,yes,NORM_CSR_WARL,binary,high,are not required to support all defined MODE settings,KEEP,no,no,no,,
hypervisor.adoc,695,The number of VMID bits is UNSPECIFIED and may be zero.,VMID_WIDTH,yes,NORM_DIRECT,range,high,is UNSPECIFIED and may be zero,KEEP,yes,no,no,,
hypervisor.adoc,742,"In particular, an implementation may make UXL be a read-only copy of field VSXL of `hstatus`, forcing VU-mode XLEN=VSXLEN.",VUXLEN,yes,NORM_CSR_RW,binary,high,an implementation may make UXL be a read-only copy,KEEP,no,no,no,,
hypervisor.adoc,800,An implementation may make field UBE be a read-only copy of `hstatus`.VSBE.,VU_MODE_ENDIANNESS,yes,NORM_CSR_RW,binary,high,An implementation may make field UBE be a read-only copy,KEEP,no,no,no,,
indirect-csr.adoc,72,The `miselect` register implements at least enough bits to support all implemented `miselect` values (corresponding to the implemented extensions that utilize `miselect`/`mireg*` to indirectly access register state). The `miselect` register may be read-only zero if there are no extensions implemented that utilize it.,MISELECT_WIDTH,no,NORM_CSR_RW,range,high,may be read-only zero if there are no extensions implemented that utilize it,KEEP,yes,no,no,,newly discovered
indirect-csr.adoc,74,The `miselect` register may be read-only zero if there are no extensions implemented that utilize it.,MISELECT_READ_ONLY_ZERO,no,NORM_CSR_RW,binary,high,may be read-only zero,KEEP,no,no,no,,newly discovered
intro.adoc,468,"Optionally, an implementation may adopt the stronger model of Total Store Ordering, as defined in <<ztso>>.",MEMORY_ORDERING_MODEL,no,NORM_DIRECT,enum,high,an implementation may adopt the stronger model of Total Store Ordering,KEEP,no,no,yes,,newly discovered; from an introduction section (non-normative)
machine.adoc,65,The Extensions field is a *WARL* field that can contain writable bits where the implementation allows the supported ISA to be modified.,MUTABLE_MISA_EXTENSIONS,no,NORM_CSR_WARL,bitmask,high,can contain writable bits where the implementation allows the supported ISA to be modified,KEEP,yes,yes,no,,"needs review: multiple UDB matches (MUTABLE_MISA_A, MUTABLE_MISA_B, MUTABLE_MISA_C, MUTABLE_MISA_D, MUTABLE_MISA_F, MUTABLE_MISA_H, MUTABLE_MISA_M, MUTABLE_MISA_Q, MUTABLE_MISA_S, MUTABLE_MISA_U); likely duplicate: WARL field, usually covered by CSR field model"
machine.adoc,155,"An implementation may impose additional constraints on the collective setting of two or more `misa` fields, in which case they function collectively as a single *WARL* field.",MISA_COLLECTIVE_WARL_CONSTRAINTS,no,NORM_CSR_WARL,set,medium,An implementation may impose additional constraints,KEEP,no,yes,no,,"newly discovered; likely duplicate: WARL field, usually covered by CSR field model"
machine.adoc,222,"This register must be readable in any implementation, but a value of 0 can be returned to indicate the field is not implemented.",MARCHID_IMPLEMENTED,yes,NORM_DIRECT,binary,high,a value of 0 can be returned to indicate the field is not implemented,KEEP,yes,no,no,,
machine.adoc,248,"This register must be readable in any implementation, but a value of 0 can be returned to indicate that the field is not implemented.",MIMPID_IMPLEMENTED,yes,NORM_DIRECT,binary,high,a value of 0 can be returned to indicate that the field is not implemented,KEEP,yes,no,no,,
machine.adoc,393,an implementation may make SXL be a read-only field whose value always ensures that SXLEN=MXLEN.,SXLEN,yes,NORM_CSR_RW,binary,high,an implementation may make SXL be a read-only field,KEEP,yes,no,no,,
machine.adoc,399,an implementation may make UXL be a read-only field whose value always ensures that UXLEN=MXLEN or UXLEN=SXLEN.,UXLEN,yes,NORM_CSR_RW,binary,high,an implementation may make UXL be a read-only field,KEEP,yes,no,no,,
machine.adoc,416,"When such a HINT is executed with XLEN < MXLEN and bits MXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1.",HINT_XLEN_REDUCTION_BEHAVIOR,no,NORM_DIRECT,binary,high,it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten,KEEP,no,no,no,,newly discovered
machine.adoc,530,"If S-mode is supported, an implementation may make SBE be a read-only copy of MBE.",S_MODE_ENDIANNESS,yes,NORM_CSR_RW,binary,high,an implementation may make SBE be a read-only copy of MBE,KEEP,yes,no,no,,
machine.adoc,532,"If U-mode is supported, an implementation may make UBE be a read-only copy of either MBE or SBE.",U_MODE_ENDIANNESS,yes,NORM_CSR_RW,enum,high,an implementation may make UBE be a read-only copy of either MBE or SBE,KEEP,yes,no,no,,
machine.adoc,617,"An implementation may have WFI always raise an illegal-instruction exception in modes less privileged than M when TW=1, even if there are pending globally-disabled interrupts when the instruction is executed.",WFI_TW_ALWAYS_ILLEGAL,no,NORM_DIRECT,binary,high,An implementation may have WFI always raise an illegal-instruction exception,KEEP,yes,no,no,,newly discovered
machine.adoc,720,"If S-mode is implemented but the F extension is not, FS may optionally be read-only zero.",MSTATUS_FS_LEGAL_VALUES,yes,NORM_CSR_RW,binary,high,may optionally be read-only zero,KEEP,yes,no,no,,
machine.adoc,731,"If S-mode is implemented but the `v` registers are not, VS may optionally be read-only zero.",MSTATUS_VS_LEGAL_VALUES,yes,NORM_CSR_RW,binary,high,may optionally be read-only zero,KEEP,yes,no,no,,
machine.adoc,793,"Implementations may choose to track the dirtiness of the floating-point register state imprecisely by reporting the state to be dirty even when it has not been modified. On some implementations, some instructions that do not mutate the floating-point state may cause the state to transition from Initial or Clean to Dirty.",HW_MSTATUS_FS_DIRTY_UPDATE,yes,SW_RULE,enum,medium,Implementations may choose to track the dirtiness of the floating-point register state imprecisely,KEEP,yes,no,no,,
machine.adoc,876,"The `mtvec` register must always be implemented, but can contain a read-only value.",MTVEC_ACCESS,yes,NORM_CSR_RW,binary,high,can contain a read-only value,KEEP,no,no,no,,excerpt not verbatim in spec — verify wording
