id,concept,on_lists,udb_param,udb_relationship,james_name,james_domain,james_source,ishaan_name,ishaan_domain,ishaan_source,ishaan_class,match_basis,review_status,confidence,notes_errors,james_section,james_chapter,james_granularity,james_reg_name,james_field_name,james_long_name,james_description,james_type,james_width,james_range,james_array,james_func_of_field,james_note
P001,How many exponent bits (0..4) are implemented in CCE,both,,,CTR_CCOUNTER_IMPL,[0..4],CTR_CCOUNTER_IMPL,CTR_CCE_WIDTH,integer [0..4] exponent bits,norm:ctr_ccounter_impl smctr.adoc:654,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,SmCtr (Ctrl Xfer Records),n/a,,,CTR_CCOUNTER_IMPL-TBD,Implementation can support 0 to 4 exponent bits,,,"0, 4",,,
P002,Whether ctrdata includes a cycle count since the prior CTR record,both,,,CTRDATA_CC_SUPPORTED,"{true, false}",CTRDATA_CC_SUPPORTED,CTR_CYCLE_COUNTING_SUPPORTED,"{true, false}",norm:ctrdata_cc_supported smctr.adoc:636,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,SmCtr (Ctrl Xfer Records),n/a,,,CTRDATA_CC_SUPPORTED-TBD,ctrdata register may optionally include a count of CPU cycles,boolean,,,,,
P003,Which medeleg/mideleg bits are delegatable (writable vs read-only 0),both,,,"medeleg, mideleg",per bit: constant mask,MEDELEG_WARL | MIDELEG_WARL; MIDELEG_RD1_LOWER_LEVEL,DELEGATABLE_EXCEPTIONS,"per bit: {true, false}",norm:medeleg_mideleg_warl machine.adoc:1262,NORM_CSR_WARL,concept,expert-confirmed (Allen Baum + Umer),,"He records the delegatable-bit mask once per register (`MEDELEG_WARL`, `MIDELEG_WARL`); ours is the single statement covering both. Anchor `norm:medeleg_mideleg_warl` has no normative rule entry. His `medeleg` cites impl-def MEDELEG_WARL with no matching normative rule in the pinned manual, so its spec text could not be checked.",csr_definitions,Machine Mode,register-level,medeleg | mideleg,,,,ConstMask,,,,,
P004,Whether a HINT with XLEN < SXLEN overwrites dest-register bits SXLEN..XLEN,both,,,HINT_SXLEN,"{AlwaysUnchanged, AlwaysOverwritten, Other}",HINT_SXLEN,HINT_SXLEN_DEST_REG_BEHAVIOR,"{true, false}",norm:hint_sxlen supervisor.adoc:163,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,Supervisor Mode,n/a,,,HINT_SXLEN-TBD,Bits SXLEN..XLEN of the destination register can be unchanged or overwritten for some HINT instructions that are encoded as integer computational instructions that overwrite their destination register with its current value. [%autowidth] !=== ! Value ! Definition ! AlwaysUnchanged ! Implementation always leaves bits SXLEN..XLEN of the destination register unchanged ! AlwaysOverwritten ! Implementation always overwrites bits SXLEN..XLEN of the destination register ! Other ! Sometimes implementation leaves bits SXLEN..XLEN unchanged and sometimes overwrites them !===,"AlwaysUnchanged, AlwaysOverwritten, Other",,,,,
P005,Whether a HINT with XLEN < MXLEN overwrites dest-register bits MXLEN..XLEN,both,,,XLEN_REDUCTION_HINT_OP,"{true, false}",XLEN_REDUCTION_HINT_OP,HINT_XLEN_REDUCTION_BEHAVIOR,"{true, false}",norm:xlen_reduction_hint_op1 machine.adoc:573,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,Machine Mode,n/a,,,XLEN_REDUCTION_HINT_OP-TBD,,boolean,,,,,
P006,Whether hip bit i is writable when sie bit i is read-only zero,both,,,hip,TBD,HIP_WARL,HIP_BIT_WRITABLE,"per bit: {read-write, read-only-0}",norm:hip_acc hypervisor.adoc:533,NORM_CSR_RW,concept,expert-confirmed (Allen Baum + Umer),,His `hip` entry is a register-level WARL umbrella (`HIP_WARL`); ours is the per-bit rule conditioned on `sie` bit i being read-only zero. Rule for `norm:hip_acc` is not marked `impl-def-behavior: true` in the manual.,csr_definitions,H Extension,register-level,hip,,,,Other,,,,,
P007,Whether accessing an unimplemented counter traps or returns a constant,both,,,HPM_READ_BEHAVIOR,"{AlwaysValue, AlwaysIllegalInstExc, Other}",HPM_PLATFORM_SPECIFIC_IMPL; HPM_UNIMPLEMENTED_COUNTER_ACCESS,HPM_UNIMPLEMENTED_ACCESS_BEHAVIOR,"{raise illegal-instruction exception, return a constant value}",norm:hpm_unimplemented_counter_access counters.adoc:24,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,Counters,n/a,,,Performance Counter Read Behavior,Defines the behavior when a particular HPM counter is read. [%autowidth] !=== ! Value ! Definition ! AlwaysValue ! Implementation always returns some value when read ! AlwaysIllegalInstExc ! Implementation always raises an illegal instruction exception when read ! Other ! Sometimes implementation returns a value or raises an illegal instruction exception !===,"AlwaysValue, AlwaysIllegalInstExc, Other",,,"3, 31",,
P008,Which 2-bit-shifted guest physical addresses htval can hold,both,,,htval,TBD,HTVAL_WARL,HTVAL_LEGAL_VALUES,{0} plus an implementation-chosen subset of 2-bit-shifted guest physical addresses,norm:htval_val hypervisor.adoc:957,NORM_CSR_WARL,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,H Extension,register-level,htval,,,,Other,,,,,
P009,Whether mcycle (and mcountinhibit.CY) is shared between harts on a core,both,,,MCYCLE_SHARED,"{true, false}",MCYCLE_SHARED,MCYCLE_SHARED,"{true, false}",norm:mcountinhibit_cy_shared machine.adoc:1633,NORM_DIRECT,concept,expert-confirmed (Allen Baum + Umer),,"The manual states mcycle sharing as two rules: `norm:mcycle_shared` (writes to `mcycle` become visible to the sharing harts) and `norm:mcountinhibit_cy_shared` (the `mcountinhibit.CY` field is shared too). Ours is the second, his cites the first. Same mechanism, different aspect of it. Rule for `norm:mcountinhibit_cy_shared` is not marked `impl-def-behavior: true` in the manual.",parameter_definitions,Machine Mode,n/a,,,MCYCLE_SHARED-TBD,"Is the mcycle CSR shared between harts on the same core, in which case writes to mcycle will be visible to those harts.",boolean,,,,,
P010,Whether menvcfg.FIOM is read-only zero when S-mode is absent or satp.MODE is read-only zero,both,,,MENVCFG_FIOM_RDONLY0_OK,"{true, false}",MENVCFG_FIOM_RDONLY0_OK,MENVCFG_FIOM_READONLY,"{read-write, read-only-0}",norm:menvcfg_fiom_rdonly0_ok machine.adoc:2150,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,Machine Mode,n/a,,,MENVCFG_FIOM_RDONLY0_OK-TBD,,boolean,,,,,
P011,Which mip bits are writable vs read-only,both,,,mip,per bit: constant mask,MIP_WARL; MIP_BITS_WR_OR_RDONLY,MIP_WRITABLE_BITS,"per bit: {read-write, read-only-0}",norm:mip_bits_wr_or_rdonly machine.adoc:1365,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,Machine Mode,register-level,mip,,,,ConstMask,,,,,
P012,Whether an invalid address is converted before being written to mnepc,both,,,mnepc,TBD,MNEPC_WARL,MNEPC_INVALID_ADDRESS_CONVERSION,"{true, false}",norm:mnepc_invalid_convert rnmi.adoc:64,NORM_DIRECT,concept,expert-confirmed (Allen Baum + Umer),,His `mnepc` entry is register-level WARL (`MNEPC_WARL`); ours is specifically the invalid-address conversion. Rule for `norm:mnepc_invalid_convert` is not marked `impl-def-behavior: true` in the manual.,csr_definitions,Smrnmi Extension for Resumable Non-Maskable Interrupts,register-level,mnepc,,,,Other,,,,,
P013,Which 2-bit-shifted guest physical addresses mtval2 can hold,both,,,mtval2,TBD,MTVAL2_WARL,MTVAL2_LEGAL_VALUES,{0} plus an implementation-chosen subset of 2-bit-shifted guest physical addresses,norm:mtval2_val hypervisor.adoc:1848,NORM_CSR_WARL,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,H Extension,register-level,mtval2,,,,Other,,,,,
P014,The size of the naturally aligned power-of-2 region for idempotent implicit reads,both,,,PMA_IDP_IMPLICIT_SZ,"{true, false}",PMA_IDP_IMPLICIT_SZ,PMA_IDEMPOTENT_IMPLICIT_READ_SIZE,"power-of-2 bytes, not exceeding the smallest supported page size",norm:pma_idp_implicit_sz machine.adoc:3294,NORM_DIRECT,tag,expert-confirmed (Allen Baum + Umer),,"Domain disagreement: ours is a power-of-2 byte size, his is typed `boolean`.",parameter_definitions,Machine Mode,n/a,,,PMA_IDP_IMPLICIT_SZ-TBD,,boolean,,,,,
P015,Which physical address bits are implemented in pmpaddr,both,,,pmpaddrN,per bit: constant mask,PMPADDR_WARL,PMPADDR_WARL_MASK,"per bit: {true, false}",norm:pmp_addr_warl machine.adoc:3377,NORM_CSR_WARL,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,Machine Mode,register-level,pmpaddrN,,,There are up to 64 PMP address registers (N=0 to 63) with the same WARL behavior.,ConstMask,,,,,
P016,Which sctrdepth DEPTH values are supported,both,,,SCTRDEPTH_DEPTH,[0..4],SCTRDEPTH_DEPTH,SCTRDEPTH_SUPPORTED_VALUES,"non-empty subset of {0,1,2,3,4} = {16,32,64,128,256} entries",norm:sctrdepth_depth smctr.adoc:215,NORM_CSR_WARL,tag,expert-confirmed (Allen Baum + Umer),,,parameter_definitions,SmCtr (Ctrl Xfer Records),n/a,,,SCTRDEPTH_DEPTH-TBD,"Depth of the control transfer record buffer, in entries. [%autowidth] !=== ! Value ! Definition ! 0 ! 16 entries ! 1 ! 32 entries ! 2 ! 64 entries ! 3 ! 128 entries ! 4 ! 256 entries ! 5-7 ! Reserved !===",,,"0, 4",,,
P017,"Which invalid addresses sepc can hold, and whether writes are converted",both,,,sepc,TBD,SEPC_ACC_INVALID_WARL,SEPC_INVALID_ADDR_BEHAVIOR,"{true, false}",norm:sepc_acc_invalid_addr supervisor.adoc:560,NORM_CSR_WARL,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,Supervisor Mode,register-level,sepc,,,,Other,,,,,
P018,Which sip bits are writable vs read-only,both,,,sip,TBD,SIP_WARL,SIP_BITS_ACCESS,"per bit: {read-write, read-only-0}",norm:sip_acc supervisor.adoc:401,NORM_CSR_RW,concept,expert-confirmed (Allen Baum + Umer),,"His `sip` entry is register-level WARL (`SIP_WARL`); ours is the per-bit writable-or-read-only rule. Rule for `norm:sip_acc` is not marked `impl-def-behavior: true` in the manual. His `sip` cites impl-def SIP_WARL with no matching normative rule in the pinned manual, so its spec text could not be checked.",csr_definitions,Supervisor Mode,register-level,sip,,,,Other,,,,,
P019,"Whether sstatus.UBE is read-only, mirroring S-mode endianness",both,,,sstatus.UBE,TBD,SSTATUS_UBE_WARL,SSTATUS_UBE_ACCESS,"{read-write, read-only-0}",norm:sstatus_ube supervisor.adoc:227,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,Supervisor Mode,field-level,sstatus,UBE,,,Other,,,,,
P020,"Whether sstatus.UXL is read-only, forcing UXLEN=SXLEN",both,,,sstatus.UXL,TBD,SSTATUS_UXL_WARL,SSTATUS_UXL_ACCESS,"{read-write, read-only-0}",norm:sstatus_uxl_sz supervisor.adoc:143,NORM_CSR_RW,tag,expert-confirmed (Allen Baum + Umer),,,csr_definitions,Supervisor Mode,field-level,sstatus,UXL,,,Other,,,,,
