adoc_file,line_number,parameter_name,class,confidence,reason,excerpt
d-st-ext.adoc,11,FLEN,NORM_DIRECT,medium,excerpt not found,"The D extension widens the 32 floating-point registers, `f0-f31`, to 64 bits (FLEN=64 in <<fprs>>)."
indirect-csr.adoc,230,MSTATEEN_CSRIND_TYPE,NORM_CSR_RW,high,excerpt not found,"If extension Smstateen is implemented together with Smcsrind, bit 60 of state-enable register mstateen0 controls access to siselect, sireg*, vsiselect, and vsireg*."
indirect-csr.adoc,242,HSTATEEN_CSRIND_TYPE,NORM_CSR_RW,high,excerpt not found,"If the hypervisor extension is implemented, the same bit is defined also in hypervisor CSR hstateen0, but controls access to only siselect and sireg*."
machine.adoc,1217,MTVEC_ACCESS,NORM_CSR_RW,high,excerpt not found,"The `mtvec` register must always be implemented, but can contain a read-only value."
machine.adoc,1672,COUNTINHIBIT_EN,NORM_CSR_RW,high,excerpt not found,an implementation may make any subset of the counters read-only zero.
machine.adoc,2079,REPORT_ENCODING_IN_MTVAL_ON_ILLEGAL_INSTRUCTION,NORM_DIRECT,high,excerpt not found,The `mtval` register can optionally also be used to return the faulting instruction bits on an illegal-instruction exception.
machine.adoc,2756,WFI_AVAILABLE_U_MODE,NORM_DIRECT,high,excerpt not found,"WFI is available in all privileged modes, and optionally available to U-mode."
machine.adoc,3395,PMPADDR_WARL_MASK,NORM_CSR_WARL,high,excerpt not found,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are WARL."
vector-crypto.adoc,372,ZVE64X_DEPENDENCY,NORM_DIRECT,high,excerpt not found,"The Zvknhb and Zvbc Vector Crypto Extensions --and accordingly the composite extensions Zvkn, Zvknc, Zvkng, and Zvksc-- depend on Zve64x."
zc.adoc,2438,JVT_READ_ONLY,NORM_CSR_RW,high,excerpt not found,"If Zcmt is implemented then jvt must also be implemented, but can contain a read-only value."
