parameter_name,class,value_type,modal_signal,adoc_file,line_number,norm_tag,refers_to_csr_field_value,refers_to_warl,excerpt,possible_dup
CTR_CTRDATA_TYPE_IMPLEMENTED,NORM_CSR_RW,binary,all fields within it are optional,smctr.adoc,327,norm:ctrdata_sz_acc,yes,yes,"The `ctrdata` register contains metadata for the recorded transfer. This register must be implemented, though all fields within it are optional. Unimplemented fields are read-only 0.",
HIP_BIT_WRITABLE,NORM_CSR_RW,bitmask,may be writable or may be read-only,hypervisor.adoc,430,,yes,yes,"If bit _i_ of `sie` is read-only zero, the same bit in register `hip` may be writable or may be read-only.",
LCOFI_MIDELEG_HIDELEG_WRITABLE,NORM_CSR_RW,binary,It is optional whether the LCOFI bit (bit 13) in each of mideleg and hideleg ... is implemented and writable,smcdeleg.adoc,138,,no,no,"It is optional whether the LCOFI bit (bit 13) in each of mideleg and hideleg, which allows all LCOFIs to be delegated to S-mode and VS-mode, respectively, is implemented and writable.",
PMA_IDEMPOTENT_IMPLICIT_READ_SIZE,NORM_DIRECT,range,is implementation-defined,machine.adoc,1836,norm:pma_idp_implicit_sz,no,no,"The size of these naturally aligned power-of-2 regions is implementation-defined, but, for systems with page-based virtual memory, must not exceed the smallest supported page size.",
SEPC_INVALID_ADDR_BEHAVIOR,NORM_CSR_WARL,binary,implementations may convert an invalid address into some other invalid address that `sepc` is capable of holding,supervisor.adoc,530,,no,yes,"`sepc` is a *WARL* register that must be able to hold all valid virtual addresses. It need not be capable of holding all possible invalid addresses. Prior to writing `sepc`, implementations may convert an invalid address into some other invalid address that `sepc` is capable of holding.",
SISELECT_WIDTH,NORM_CSR_WARL,range,Only if such an extension is implemented will `siselect` be required to support larger values,indirect-csr.adoc,138,norm:siselect_min_range,no,no,The `siselect` register will support the value range 0..0xFFF at a minimum. A future extension may define a value range outside of this minimum range. Only if such an extension is implemented will `siselect` be required to support larger values.,
VSISELECT_WIDTH,NORM_CSR_WARL,range,Only if such an extension is implemented will `vsiselect` be required to support larger values,indirect-csr.adoc,213,norm:vsiselect_min_range,no,no,The `vsiselect` register will support the value range 0..0xFFF at a minimum. A future extension may define a value range outside of this minimum range. Only if such an extension is implemented will `vsiselect` be required to support larger values.,
WFI_NOP_BEHAVIOR,NORM_DIRECT,binary,Implementations are permitted to resume execution for any reason,machine.adoc,1590,norm:wfi_resume_reason,no,no,"Implementations are permitted to resume execution for any reason, even if an enabled interrupt has not become pending. Hence, a legal implementation is to simply implement the WFI instruction as a NOP.",
ZCMP_PUSH_BUS_FAULT_HANDLING,NORM_DIRECT,binary,platform defined whether the core implementation waits for the bus responses,zc.adoc,1121,,no,no,"It is platform defined whether the core implementation waits for the bus responses before continuing to the final stage of the sequence, or handles errors responses after completing the PUSH instruction.",
HGATP_PPN_LOWER_BITS_RO,NORM_CSR_RW,binary,may make PPN[1:0] read-only zero,hypervisor.adoc,627,,no,yes,An implementation that supports only the defined paged virtual-memory schemes and/or Bare may make PPN[1:0] read-only zero.,"HGATP_PPN_LOWER_BITS_RO (sent, V4)"
HPMEVENT_MINH_RO_THROUGH_SIREG,NORM_CSR_RW,binary,is read-only 0 when accessed through sireg*,smcdeleg.adoc,63,,no,yes,"hpmevent__i__ may represent a subset of the state accessed by the mhpmevent__i__ register. Specifically, if Sscofpmf is implemented, event selector bit 62 (MINH) is read-only 0 when accessed through sireg*.","HPMEVENT_SUBSET_REPRESENTATION (sent, borderline)"
MEDELEG_MIDELEG_IMPLEMENTED,NORM_DIRECT,binary,implementations can provide individual read/write bits,machine.adoc,952,norm:medeleg_mideleg_op1,no,no,implementations can provide individual read/write bits within `medeleg` and `mideleg` to indicate that certain exceptions and interrupts should be processed directly by a lower privilege level.,DELEGATABLE_EXCEPTIONS (sent)
MEDELEG_MIDELEG_WARL_BITS,NORM_CSR_WARL,bitmask,An implementation can choose to subset the delegatable traps,machine.adoc,975,norm:medeleg_mideleg_warl,yes,no,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value in `medeleg` or `mideleg` to see which bit positions hold a one.",DELEGATABLE_EXCEPTIONS (sent)
MEMORY_CONSISTENCY_MODEL,NORM_DIRECT,binary,an implementation may adopt the stronger model of Total Store Ordering,intro.adoc,468,,no,no,"Optionally, an implementation may adopt the stronger model of Total Store Ordering, as defined in <<ztso>>.",MEMORY_ORDERING_MODEL=Ztso (sent)
MENVCFG_FIOM_READONLY_ZERO,NORM_CSR_RW,binary,the implementation may make FIOM read-only zero,machine.adoc,1476,norm:menvcfg_fiom_rdonly0_ok,yes,yes,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero.",MENVCFG_FIOM_READONLY (sent)
MIP_MSIP_MIE_MSIE_RO_ZERO,NORM_CSR_RW,binary,may both be read-only zeros,machine.adoc,1083,norm:mip_msip_mie_msie_maybe_rdonly0,yes,yes,"If a system has only one hart, or if a platform standard supports the delivery of machine-level interprocessor interrupts through external interrupts (MEI) instead, then `mip`.MSIP and `mie`.MSIE may both be read-only zeros.",MIP_MSIP_MIE_MSIE_READONLY (sent)
MISELECT_WIDTH,NORM_CSR_RW,binary,may be read-only zero if there are no extensions implemented that utilize it,indirect-csr.adoc,73,norm:miselect_min_sz,yes,yes,The `miselect` register implements at least enough bits to support all implemented `miselect` values (corresponding to the implemented extensions that utilize `miselect`/`mireg*` to indirectly access register state). The `miselect` register may be read-only zero if there are no extensions implemented that utilize it.,"MISELECT_WIDTH (sent, borderline)"
MSECCFG_SSEED_USEED_ACCESS,NORM_CSR_RW,binary,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`",scalar-crypto.adoc,3697,,yes,no,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`.",SSEED_USEED_WRITABLE (sent)
PMA_MAG_EXCEPTION_TYPE,NORM_DIRECT,binary,Implementations may raise access-fault exceptions instead of address-misaligned exceptions,machine.adoc,1812,norm:pma_mag_exc,no,no,"Implementations may raise access-fault exceptions instead of address-misaligned exceptions for some misaligned accesses, indicating the instruction should not be emulated by a trap handler.",MISALIGNED_LDST_EXCEPTION_PRIORITY (existing UDB)
PMP_MMODE_LOCKING_SUPPORTED,NORM_DIRECT,binary,"Optionally, PMP checks may additionally apply to M-mode accesses",machine.adoc,3352,norm:pmp_mmode_locking,no,no,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset.","PMP_MMODE_ENFORCEMENT (sent, rejected)"
SSP_BIT2_READ_ONLY_ZERO,NORM_CSR_RW,binary,may never be 32,unpriv-cfi.adoc,530,norm:ssp-field_1_0,yes,yes,"The bits 1:0 of `ssp` are read-only zero. If the UXLEN or SXLEN may never be 32, then the bit 2 is also read-only zero.",SSP_BIT2 (sent)
WFI_U_MODE_AVAILABLE,NORM_DIRECT,binary,optionally available to U-mode,machine.adoc,1572,,no,no,"WFI is available in all privileged modes, and optionally available to U-mode.","WFI_U_MODE (sent, dup)"
