parameter_name,rule,duplicate_of,reasoning
LRSC_FAIL_ON_RESERVATION_SET_DEVICE_WRITE,unspecified,,"The excerpt explicitly states the SC 'may or may not fail' — this is intentionally unconstrained behavior, not a finite enumerable implementer choice that can be certified."
CBO_ZERO_ATOMICITY,unspecified,,The excerpt states the implementation 'may or may not update the entire set of bytes atomically' — this is unspecified behavior with no finite enumerable legal values to certify.
CBO_ZERO_UPDATE_GRANULARITY,unspecified,,"Allowing any order, any granularity, and any atomicity including individual bytes is intentionally unconstrained and not a finite enumerable set of implementation choices."
CBO_ZERO_ATOMIC_UPDATE,unspecified,CBO_ZERO_ATOMICITY,This is a duplicate of CBO_ZERO_ATOMICITY and equally unspecified — 'may or may not update atomically' is not a certifiable finite enumerable parameter.
HPM_UNIMPLEMENTED_COUNTER_ACCESS_BEHAVIOR,unspecified,,The excerpt offers two outcomes ('may cause an illegal-instruction exception or may return a constant value') but leaves the choice intentionally unconstrained with no testable enumeration of which constant value or when each applies.
HIDELEG_PLATFORM_INTERRUPT_TRANSLATION,unspecified,,"The excerpt states translations 'may or may not be done' for platform interrupt causes, which is intentionally unconstrained behavior with no finite enumerable certifiable values."
HIP_WRITABLE_BITS,unspecified,,"The excerpt states a bit 'may be writable or may be read-only' without defining a finite enumerable set of which specific bits are affected or a testable rule, making this intentionally unconstrained."
MISELECT_READ_ONLY_ZERO,duplicate,MISELECT_WIDTH,Read-only-zero is just the degenerate case of MISELECT_WIDTH=0 and is fully captured by that parameter.
MUTABLE_MISA_EXTENSIONS,duplicate,MUTABLE_MISA_A,The per-extension MUTABLE_MISA_* parameters (A through V) already collectively capture which misa extension bits are writable.
MISA_COLLECTIVE_WARL_CONSTRAINTS,unspecified,,"The additional collective constraints are implementation-defined with no enumerable set of legal values, making them untestable and uncertifiable."
MEPC_INVALID_ADDR_CONVERSION,unspecified,,"The conversion of an invalid address to 'some other invalid address' is intentionally unconstrained — the result is unspecified and not verifiable, making it impossible to certify."
CUSTOM_EXCEPTION_PRIORITY,unspecified,,"Custom exception priority is explicitly implementation-defined with no enumerable set of legal values, making it uncertifiable."
MCAUSE_RESET_VALUE,unspecified,,"The reset value of mcause has implementation-specific interpretation with no enumerable set of legal values, making it uncertifiable."
NMI_MCAUSE_VALUE,unspecified,,"The excerpt states the values are 'implementation-defined' with no finite enumerable set of legal values specified, making it unverifiable/uncertifiable as a parameter."
PMA_MAG_FAULT_TYPE,duplicate,MISALIGNED_LDST_EXCEPTION_PRIORITY,The choice of raising access-fault vs. address-misaligned exceptions for misaligned accesses is already captured by MISALIGNED_LDST_EXCEPTION_PRIORITY.
