type,llm_name,udb_name,match_score,llm_class,udb_class,source_file,notes
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_A,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_B,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_C,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_H,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_M,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_S,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_U,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
NAMING_MISMATCH,ZALASR_MISALIGNED_BEHAVIOR,LRSC_MISALIGNED_BEHAVIOR,0.5,NORM_DIRECT,NORM_DIRECT,zalasr.adoc,
NAMING_MISMATCH,MISALIGNED_LDST_INVISIBLE_TRAP,MISALIGNED_LDST,0.7,NON_ISA,NORM_DIRECT,rv32.adoc,
NAMING_MISMATCH,SATP_MODE_SUPPORT,SATP_MODE_BARE,0.5,NORM_CSR_WARL,NORM_CSR_WARL,supervisor.adoc,
NAMING_MISMATCH,HINT_SXLEN_PARAM,SXLEN,0.533,NORM_DIRECT,NORM_DIRECT,supervisor.adoc,
NAMING_MISMATCH,TRAP_ON_RESERVED_ROUNDING_MODE,TRAP_ON_RESERVED_INSTRUCTION,0.5,NORM_DIRECT,NORM_DIRECT,f-st-ext.adoc,
NAMING_MISMATCH,TRAP_ON_UNIMPLEMENTED_HPM_COUNTER,TRAP_ON_UNIMPLEMENTED_CSR,0.5,NORM_DIRECT,NORM_DIRECT,counters.adoc,
NAMING_MISMATCH,TRAP_ON_UNIMPLEMENTED_HPM_COUNTER,TRAP_ON_UNIMPLEMENTED_INSTRUCTION,0.5,NORM_DIRECT,NORM_DIRECT,counters.adoc,
NAMING_MISMATCH,SXLEN_UXLEN_CONTROL,UXLEN,0.533,NORM_CSR_WARL,NORM_DIRECT,machine.adoc,
CLASS_DISAGREEMENT,HPM_COUNTER_EN,HPM_COUNTER_EN,1.0,NORM_DIRECT,NORM_CSR_RW,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_RW"
