parameter_name,class,value_type,adoc_file,line_number,modal_signal,excerpt
HINT_XLEN_REDUCTION_BEHAVIOR,NORM_DIRECT,binary,machine.adoc,416,it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten,"When such a HINT is executed with XLEN < MXLEN and bits MXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits MXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1."
HINT_SXLEN_DEST_REG_BEHAVIOR,NORM_DIRECT,binary,supervisor.adoc,141,it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten,"When such a HINT is executed with XLEN < SXLEN and bits SXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1."
XRET_CLEARS_LR_RESERVATION,NORM_DIRECT,binary,machine.adoc,1535,is allowed to clear any outstanding LR address reservation but is not required to,"If the A extension is supported, the __x__RET instruction is allowed to clear any outstanding LR address reservation but is not required to."
WFI_U_MODE,NORM_DIRECT,binary,machine.adoc,1543,optionally available to U-mode,"WFI is available in all privileged modes, and optionally available to U-mode."
VTW_WFI_ALWAYS_TRAP,NORM_DIRECT,binary,hypervisor.adoc,268,An implementation may have WFI always raise a virtual-instruction exception,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed."
WFI_TW_ALWAYS_ILLEGAL,NORM_DIRECT,binary,machine.adoc,617,An implementation may have WFI always raise an illegal-instruction exception,"An implementation may have WFI always raise an illegal-instruction exception in modes less privileged than M when TW=1, even if there are pending globally-disabled interrupts when the instruction is executed."
SSEED_USEED_WRITABLE,NORM_CSR_RW,binary,scalar-crypto.adoc,3697,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`","Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`."
CTR_MISP_IMPLEMENTED,NORM_CSR_RW,binary,smctr.adoc,330,optional MISP bit,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.
CTR_CYCLE_COUNT_IMPLEMENTED,NORM_CSR_RW,binary,smctr.adoc,618,may optionally include a count of CPU cycles,"The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.  The elapsed cycle count value is represented by the CC field, which has a 12-bit mantissa component (Cycle Count Mantissa, or CCM) and a 4-bit exponent component (Cycle Count Exponent, or CCE)."
CTR_CCE_WIDTH,NORM_CSR_RW,range,smctr.adoc,648,may implement 0..4 exponent bits in CCE,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE. Unimplemented CCE bits are read-only 0."
CTR_RASEMU_IMPLEMENTED,NORM_CSR_RW,binary,smctr.adoc,693,optional `__x__ctrctl`.RASEMU bit is implemented,"When the optional `__x__ctrctl`.RASEMU bit is implemented and set to 1, transfer recording behavior is altered to emulate the behavior of a return-address stack (RAS)."
CTR_SUPPORTED_DEPTHS,NORM_CSR_WARL,set,smctr.adoc,222,implementation-specific which DEPTH value(s) are supported,It is implementation-specific which DEPTH value(s) are supported.
MENVCFG_FIOM_READONLY,NORM_CSR_RW,binary,machine.adoc,1455,the implementation may make FIOM read-only zero,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero."
SENVCFG_FIOM_ACCESS,NORM_CSR_RW,binary,supervisor.adoc,706,the implementation may make FIOM read-only zero,"If `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero."
