parameter_name,class,value_type,confidence,modal_signal,tagged,refers_to_warl,adoc_file,line_number,excerpt
CBO_ZERO_ATOMIC_UPDATE,NORM_DIRECT,binary,high,may or may not update the entire set of bytes atomically,no,no,cmo.adoc,810,An implementation may or may not update the entire set of bytes atomically.
HPM_UNIMPLEMENTED_ACCESS_BEHAVIOR,NORM_DIRECT,enum,high,may cause an illegal-instruction exception or may return a constant value,yes,no,counters.adoc,191,Accessing an unimplemented counter may cause an illegal-instruction exception or may return a constant value.
VSXL_RO_PARAM,NORM_CSR_RW,binary,high,an implementation may make VSXL be a read-only field,yes,no,hypervisor.adoc,244,"In particular, an implementation may make VSXL be a read-only field whose value always ensures that VSXLEN=HSXLEN."
VTW_VIRTINSTR_PARAM,NORM_DIRECT,binary,high,An implementation may have WFI always raise a virtual-instruction exception,yes,no,hypervisor.adoc,260,"An implementation may have WFI always raise a virtual-instruction exception in VS-mode when VTW=1 (and `mstatus`.TW=0), even if there are pending globally-disabled interrupts when the instruction is executed."
GEILEN_PARAM,NORM_DIRECT,range,high,is UNSPECIFIED and may be zero,no,no,hypervisor.adoc,520,The number of bits implemented in `hgeip` and `hgeie` for guest external interrupts is UNSPECIFIED and may be zero. This number is known as _GEILEN_.
VSSTATUS_UBE_PARAM,NORM_CSR_RW,binary,high,An implementation may make field UBE be a read-only copy,no,no,hypervisor.adoc,1226,An implementation may make field UBE be a read-only copy of `hstatus`.VSBE.
DELEGATABLE_EXCEPTIONS,NORM_CSR_WARL,bitmask,high,An implementation can choose to subset the delegatable traps,yes,no,machine.adoc,1310,"An implementation can choose to subset the delegatable traps, with the supported delegatable bits found by writing one to every bit location, then reading back the value in `medeleg` or `mideleg` to see which bit positions hold a one."
MENVCFG_FIOM_IMPLEMENTED,NORM_CSR_RW,binary,high,the implementation may make FIOM read-only zero,yes,no,machine.adoc,2186,"If S-mode is not supported, or if `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero."
PMP_MMODE_ENFORCEMENT,NORM_DIRECT,binary,high,"Optionally, PMP checks may additionally apply to M-mode accesses",yes,no,machine.adoc,3349,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset."
ADDITIONAL_CSRS,NORM_DIRECT,set,high,may contain additional CSRs,no,no,priv-csrs.adoc,12,"an implementation may contain additional CSRs, accessible by some subset of the privilege levels using the CSR instructions described in Volume I."
